mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني أو تجاري,36,875,2800
الرياض,غرب الرياض,حي المهدية,جنوب شرقي,سكني,15,483,2100
الخبر,,حي الصواري,شمال,سكني,20,900,1000
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,20,1445,4000
الرياض,شمال الرياض,حي الملقا,غرب,,20,713,3500
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,20,1800,3200
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,15,742,768
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15,562,3100
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,تجاري,30,7179,4000
الرياض,جنوب الرياض,حي الدار البيضاء,جنوب,سكني,15,750,1450
الرياض,شرق الرياض,حي الرمال,غرب,سكني,20,360,1900
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,500,3900
الرياض,شمال الرياض,حي الملقا,شرق,سكني,18,750,4100
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,560,4500
الرياض,غرب الرياض,حي الرفيعة,غرب,سكني,10,480,1600
الخبر,,حي اللؤلؤ,شرق,,30,480,937
الرياض,شمال الرياض,حي الياسمين,شمال غربي,,15,840,3500
الخبر,,حي اللؤلؤ,شرق,,40,787,698
الخبر,,حي التحلية,جنوب غربي,سكني,15,658,1500
الدرعية,,حي شمال الدرعية,جنوب غربي,سكني,18,720,3500
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,918,3250
الرياض,شمال الرياض,حي النفل,جنوب غربي,سكني أو تجاري,36,2444,4500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,تجاري,30,1800,4500
الرياض,غرب الرياض,حي عرقة,شرق,تجاري,60,1034,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,15,1055,3100
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,20,625,3500
جدة,شمال جدة,حي الزمرد,جنوب,سكني,15,900,466
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,600,3700
الخبر,,حي العقيق,شمال,سكني,16,680,808
الرياض,شمال الرياض,حي حطين,شرق,سكني,25,1320,4300
جدة,شمال جدة,حي الريان,جنوب,سكني,20,600,1666
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,560,4800
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,456,3300
الرياض,شرق الرياض,حي القدس,شرق,سكني,15,600,2700
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36,12600,3500
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20,450,3200
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,36,750,4200
الرياض,شمال الرياض,حي المروج,3 شوارع,سكني,20,1625,3200
الدرعية,,حي الدرعية الجديدة,4 شوارع,,20,13000,600
الرياض,شمال الرياض,حي الفلاح,غرب,,15,875,3300
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,18,1530,4500
الخبر,,حي اللؤلؤ,شرق,سكني,40,600,916
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,20,9900,4000
الرياض,شرق الرياض,حي المونسية,3 شوارع,سكني,20,9918,1800
الخبر,,حي المرجان,شرق,سكني,20,1000,500
الخبر,,حي الراكة الجنوبية,غرب,,60,2750,3200
الرياض,شمال الرياض,حي حطين,شرق,,15,469,3800
ثادق,,حي الديرة القديمة,شرق,,20,650,240
الرياض,غرب الرياض,حي الخزامى,شمال,سكني,10,400,3400
الهفوف,,حي جنوب الهفوف,غرب,سكني,20,840,595
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,20,1700,3000
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,344,2400
الرياض,شرق الرياض,حي المونسية,شمال غربي,تجاري,31,1500,2200
الرياض,شمال الرياض,حي الصحافة,جنوب غربي,سكني,15,676,3400
الرياض,شمال الرياض,حي حطين,شرق,سكني,28,700,3800
الرياض,شمال الرياض,حي العقيق,غرب,سكني,20,900,3000
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,442,2950
الرياض,شمال الرياض,حي حطين,شمال,,20,875,4000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25,750,3600
الرياض,شمال الرياض,حي مركز الملك عبدالله للدراسات والبحوث,4 شوارع,سكني أو تجاري,100,10000000,550
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60,2500,3700
الرياض,جنوب الرياض,حي السلي,3 شوارع,تجاري,60,24593,1100
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15,396,1550
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,10,412,2700
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,35,1859,3400
الرياض,جنوب الرياض,حي عريض,شرق,,15,400,500
الرياض,شرق الرياض,حي الرمال,جنوب شرقي,تجاري,30,900,1450
الدمام,,حي ضاحية الملك فهد,شرق,سكني,60,500,1200
الرياض,شمال الرياض,حي النفل,جنوب شرقي,سكني,36,2444,4500
الرياض,شمال الرياض,حي حطين,4 شوارع,,20,6760,5000
الخبر,,حي المرجان,غرب,سكني,40,925,594
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني أو تجاري,36,900,5200
جدة,شمال جدة,حي الزمرد,غرب,سكني,15,900,1111
الهياثم,,حي الهياثم,غرب,سكني,15,5000,50
الرياض,شمال الرياض,حي النخيل,جنوب غربي,سكني,30,1617,4600
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15,750,2650
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,600,2750
الرياض,شمال الرياض,حي بنبان,جنوب,,15,455,858
جدة,شمال جدة,حي الياقوت,شرق,سكني,25,483,1759
الرياض,شمال الرياض,حي القيروان,جنوب شرقي,تجاري,31,900,3200
بريدة,,حي الحمر,شرق,سكني,12,300,650
الرياض,شمال الرياض,حي حطين,3 شوارع,,30,16000,4000
الرياض,شرق الرياض,حي القدس,غرب,تجاري,36,996,3900
الرياض,شرق الرياض,حي القدس,جنوب,سكني,15,600,2750
المدينة المنورة,,حي الشهباء,غرب,سكني أو تجاري,100,8300,1445
الخبر,,حي الشراع,جنوب غربي,تجاري,60,875,2171
الظهران,,حي القصور,شرق,سكني,20,875,2000
الخبر,,حي الامواج,شمال,تجاري,60,2100,1650
جدة,شمال جدة,حي المروة,جنوب,سكني,15,9700,3000
الخبر,,حي المرجان,غرب,سكني أو تجاري,60,40000,325
القطيف,,حي الناصرة,شمال شرقي,سكني,15,555,2700
الرياض,شمال الرياض,حي النفل,شمال,سكني أو تجاري,36,1500,4000
جدة,شمال جدة,حي الياقوت,شرق,سكني,40,638,1880
الرياض,جنوب الرياض,حي عكاظ,4 شوارع,سكني,20,360,1200
جدة,شمال جدة,حي الزمرد,غرب,سكني,16,900,300
جدة,شمال جدة,حي الزمرد,جنوب,سكني,16,900,350
الرياض,غرب الرياض,حي المهدية,شرق,,20,400,2200
الرياض,شمال الرياض,حي المروج,شمال,سكني أو تجاري,30,575,4500
الرياض,شرق الرياض,حي الروضة,غرب,سكني,20,541,2400
الرياض,شرق الرياض,حي المونسية,جنوب شرقي,,18,288,2850
الرياض,شرق الرياض,حي النظيم,غرب,سكني أو تجاري,35,750,1650
الرياض,شرق الرياض,حي الروابي,3 شوارع,سكني,12,925,2400
جدة,شمال جدة,حي الزمرد,غرب,سكني,15,312,1682
الرياض,شرق الرياض,حي الخليج,جنوب غربي,تجاري,40,1000,1900
جدة,شمال جدة,حي الزمرد,جنوب,سكني,16,806,496
الرياض,شمال الرياض,حي حطين,شمال,سكني,15,750,4200
الرياض,شمال الرياض,حي الملقا,جنوب,,18,3900,4400
الرياض,شرق الرياض,حي اليرموك,3 شوارع,تجاري,36,3600,3700
الرياض,شرق الرياض,حي النهضة,غرب,سكني,15,375,2050
الرياض,شرق الرياض,حي القدس,غرب,تجاري,35,969,3700
جدة,شمال جدة,حي اللؤلؤ,جنوب شرقي,سكني,16,400,2000
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,60,4873,5000
الرياض,شمال الرياض,حي الملقا,شرق,تجاري,60,1800,7000
الرياض,شرق الرياض,حي القدس,غرب,سكني,15,600,2900
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,446,4000
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,811,3950
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20,344,1500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,تجاري,80,1050,7000
الرياض,غرب الرياض,حي لبن,غرب,سكني,20,450,2777
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,20,370,3908
الرياض,شمال الرياض,حي الفلاح,جنوب غربي,سكني,20,680,3350
الرياض,شرق الرياض,حي المعيزلة,جنوب,تجاري,30,750,1500
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15,375,3300
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18,875,3900
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,تجاري,36,12438,3300
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,40,20000,2000
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,15,3046,2500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني أو تجاري,30,900,4000
الرياض,غرب الرياض,حي الخزامى,شمال شرقي,سكني,20,7000,3200
الرياض,شمال الرياض,حي حطين,جنوب,,30,700,5000
الدرعية,,حي الفيصلية,جنوب,سكني,20,900,3300
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28,1600,5000
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2900
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15,405,691
الرياض,شمال الرياض,حي حطين,شمال,سكني,20,875,4000
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15,375,3200
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,20,1820,934
الرياض,شمال الرياض,حي المحمدية,3 شوارع,سكني,12,700,3450
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,20,500,1050
الرياض,شمال الرياض,حي النفل,غرب,سكني,21,675,3300
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15,562,3300
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20,690,1200
الرياض,جنوب الرياض,حي عكاظ,شمال,سكني,20,312,1200
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15,840,3500
الرياض,شرق الرياض,حي النهضة,جنوب,سكني,10,600,1750
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,360,2800
الدرعية,,حي الخالدية,جنوب غربي,سكني,18,720,3500
الرياض,شرق الرياض,حي غرناطة,شرق,سكني,15,900,2600
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,35,3600,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,25,9950,4000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,900,3800
الرياض,شمال الرياض,حي المروج,4 شوارع,سكني,15,6000,2500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,15,3780,4000
الرياض,شمال الرياض,حي حطين,شمال شرقي,سكني,20,1200,3800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,838,4800
الدرعية,,حي الخالدية,شرق,سكني,15,420,2500
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني,60,4831,1250
الرياض,شمال الرياض,حي الملقا,3 شوارع,تجاري,60,2140,10000
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15,982,4000
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,36,900,2000
الرياض,شمال الرياض,حي حطين,جنوب شرقي,سكني,25,2100,4700
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,20,1143,1350
الرياض,شرق الرياض,حي قرطبة,شرق,سكني,20,1325,2700
الخبر,,حي التحلية,شمال شرقي,سكني,15,467,1498
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,6,687,2700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,450,2400
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,1350,3050
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,765,4000
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,28,23900,4000
بريدة,,حي الرحاب,جنوب,سكني,15,1473,500
الرياض,شرق الرياض,حي النسيم الغربي,3 شوارع,سكني,10,750,1600
الرياض,شمال الرياض,حي الندى,شمال,تجاري,36,10860,3300
الخبر,,حي العقيق,شمال شرقي,سكني,20,392,969
الرياض,شرق الرياض,حي المونسية,شرق,سكني,15,288,2620
الرياض,شرق الرياض,حي اليرموك,شمال غربي,تجاري,36,886,2800
الرياض,شمال الرياض,حي الملقا,جنوب,,20,860,4500
الخبر,,حي التحلية,شمال شرقي,سكني,20,600,2
الرياض,شمال الرياض,حي المحمدية,شمال غربي,سكني,12,494,4000
الرياض,شمال الرياض,حي الندى,شمال,تجاري,60,8400,6000
الرياض,شمال الرياض,حي حطين,شرق,سكني,30,3500,4500
الرياض,شمال الرياض,حي الصحافة,شمال,تجاري,36,720,4200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,تجاري,30,1050,4200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,1089,3900
الخبر,,حي التحلية,غرب,سكني,20,542,1150
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,900,3700
جدة,شمال جدة,حي الزمرد,شمال,سكني,20,900,888
ابها,,حي القرى,جنوب,,20,1173,1278
الرياض,شمال الرياض,حي بنبان,جنوب,,15,750,600
جازان,,حي الشاطئ,شمال شرقي,سكني,20,672,1488
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20,350,857
جدة,شمال جدة,حي الشراع,شرق,سكني,15,660,2100
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30,17700,1400
الرياض,شمال الرياض,حي الورود,3 شوارع,تجاري,40,1033,10000
الرياض,شمال الرياض,حي العارض,شمال شرقي,تجاري,30,950,2500
مكة المكرمة,,حي الملك فهد,جنوب شرقي,سكني,15,624,1201
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,20,814,550
الدمام,,حي الفيصلية,شرق,,30,4612,1100
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,750,4000
رابغ,,حي الصليب الشرقي,شرق,تجاري,30,714,560
رابغ,,حي الصليب الغربي,شرق,سكني,15,735,204
الرياض,جنوب الرياض,حي عكاظ,شرق,سكني أو تجاري,35,7747,1000
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20,2250,450
الرياض,شرق الرياض,حي النسيم الغربي,شمال,تجاري,40,875,2000
الرياض,غرب الرياض,حي ظهرة نمار,شمال شرقي,سكني,20,450,1350
الطائف,,حي الخالدية,شرق,سكني أو تجاري,35,30444,1500
بريدة,,حي سلطانة,جنوب غربي,سكني أو تجاري,30,1500,940
المدينة المنورة,,حي الدفاع,جنوب,,60,3463,2500
بيش,,حي بيش,شرق,سكني أو تجاري,100,188000,350
عرعر,,حي الربوه,شمال شرقي,سكني أو تجاري,60,797,400
صبيا,,حي الرونة,شمال,سكني أو تجاري,100,24900,180
الرياض,شمال الرياض,حي الغدير,غرب,سكني,15,420,4650
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20,756,5200
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,11,540,3500
الرياض,شمال الرياض,حي النرجس,شمال,سكني,25,525,3200
ابو عريش,,حي المهدج,جنوب,,15,640,281
الرياض,غرب الرياض,حي المهدية,شرق,,20,400,2012
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,300,2950
الرياض,شرق الرياض,حي قرطبة,3 شوارع,تجاري,80,9068,4500
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15,720,694
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,360,4000
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15,360,1900
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني أو تجاري,30,2500,3900
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,15,529,1250
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15,720,2700
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,372,2400
الدرعية,,حي الدرعية الجديدة,شمال,سكني,20,42000,250
الرياض,شمال الرياض,حي القيروان,شمال غربي,سكني,15,1030,1100
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,20,500,2600
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15,375,3000
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,15,600,2300
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني,15,4516,2400
الرياض,شمال الرياض,حي الملقا,غرب,سكني,25,920,4300
الخبر,,حي التحلية,جنوب غربي,سكني,20,585,1450
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,2250,5000
الرياض,شرق الرياض,حي المونسية,شمال,سكني أو تجاري,30,600,2000
الهفوف,,حي الملك فهد,جنوب شرقي,سكني,15,492,1300
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,سكني,15,378,2750
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني أو تجاري,30,560,4200
الرياض,شرق الرياض,حي اليرموك,شمال,سكني,20,312,2600
الرياض,غرب الرياض,حي السفارات,3 شوارع,,20,4200,5000
الهفوف,,حي جنوب الهفوف,شمال شرقي,سكني,15,400,875
الرياض,شمال الرياض,حي الياسمين,جنوب,,36,750,4200
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20,450,1200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,30,700,5000
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15,981,3900
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,1250,3300
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني أو تجاري,20,900,1333
الرياض,شمال الرياض,حي الملك عبدالله,غرب,,15,635,3000
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,80,1050,6000
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15,360,2900
الهفوف,,حي الجامعيين,شرق,سكني,15,500,1020
الرياض,شمال الرياض,حي السليمانية,شمال شرقي,سكني,15,2964,2450
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20,600,1000
الرياض,شرق الرياض,حي الازدهار,شمال شرقي,سكني,20,900,3100
الخبر,,حي الامواج,جنوب,سكني,20,628,1003
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,450,3000
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,30,5855,6500
الرياض,شرق الرياض,حي النظيم,شرق,سكني,30,858,1300
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15,900,3900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,808,4300
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15,1050,2900
الرياض,شمال الرياض,حي الملك عبدالله,شمال,سكني,15,330,3300
الرياض,شرق الرياض,حي المونسية,جنوب,سكني أو تجاري,30,600,3100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,900,4250
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15,750,643
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,20,1800,2500
الخبر,,حي الامواج,غرب,سكني,16,420,833
الرياض,شمال الرياض,حي المصيف,شمال,سكني,10,575,2260
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,390,3700
الرياض,شمال الرياض,حي القيروان,غرب,سكني,15,300,6666
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,687,4200
الرياض,شمال الرياض,حي الوادي,غرب,تجاري,61,2025,5200
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,18,342,1850
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,456,3200
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,30,1125,2900
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18,375,4000
الرياض,غرب الرياض,حي عرقة,4 شوارع,سكني أو تجاري,60,13902,2350
الرياض,شمال الرياض,حي الغدير,شمال,,20,600,4200
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15,414,1600
الرياض,شمال الرياض,حي الملقا,جنوب,تجاري,60,900,6000
الرياض,شمال الرياض,حي الملك عبدالله,شمال,سكني,15,325,3300
الخبر,,حي العقيق,غرب,سكني,25,482,840
الرياض,شرق الرياض,حي الروضة,شمال,سكني,12,598,2350
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15,770,1500
الخبر,,حي الصواري,غرب,تجاري,60,1600,1250
الرياض,شمال الرياض,حي الملقا,غرب,سكني,30,1904,3850
الرياض,شمال الرياض,حي الندى,4 شوارع,تجاري,60,17820,5500
الخبر,,حي الصواري,شمال شرقي,سكني,15,650,1076
جازان,,حي الشاطئ,غرب,سكني أو تجاري,45,3040,2500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20,500,3000
الهفوف,,حي جنوب منسوبي التعليم,شمال,سكني,15,400,700
الرياض,غرب الرياض,حي العريجاء الوسطى,جنوب غربي,سكني,15,471,1348
الرياض,شرق الرياض,حي اشبيلية,3 شوارع,تجاري,60,2500,4000
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,30,900,3600
الرياض,شمال الرياض,حي العقيق,3 شوارع,تجاري,30,2500,4000
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,425,5000
ابو عريش,,حي شويهة,جنوب,,30,168000,25
الرياض,شمال الرياض,حي الملقا,شمال شرقي,,20,958,3700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20,1100,3000
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12,740,1800
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,30,1680,1730
المدينة المنورة,,حي السكب,شمال,سكني,25,800,750
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,385,4200
الرياض,شمال الرياض,حي العقيق,جنوب غربي,تجاري,30,500,3650
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,40,900,1445
الرياض,شمال الرياض,حي العليا,جنوب,سكني,10,425,3059
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,750,3300
المدينة المنورة,,حي السلام,جنوب,سكني أو تجاري,30,708,1620
الخبر,,حي الحمرا,شرق,سكني,20,875,2000
الرياض,شمال الرياض,حي الياسمين,4 شوارع,تجاري,60,10000,6000
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15,690,2320
الرياض,جنوب الرياض,حي بدر,شرق,تجاري,60,2000,1500
الرياض,وسط الرياض,حي الضباط,4 شوارع,سكني,5,8296,2050
الزلفي,,حي المنتزة,3 شوارع,,20,675,185
الرياض,شرق الرياض,حي الرمال,جنوب,تجاري,25,800,2000
الرس,,حي الشفاء,شرق,سكني,20,400,662
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15,450,1100
الرياض,غرب الرياض,حي ظهرة لبن,غرب,سكني أو تجاري,40,900,2200
الرياض,شمال الرياض,حي بنبان,جنوب,,15,403,620
الخبر,,حي العقيق,جنوب,تجاري,40,1050,952
الخبر,,حي اشبيليا,شرق,تجاري,60,900,3333
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,60,10635,3500
الرياض,غرب الرياض,حي الحزم,غرب,سكني,20,600,1400
الرياض,شمال الرياض,حي بنبان,شرق,تجاري,30,690,724
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20,375,880
بريدة,,حي الرحاب,غرب,سكني,15,671,268
جدة,شمال جدة,حي اللؤلؤ,شرق,سكني,25,300,2333
الرياض,شرق الرياض,حي النظيم,شمال,,15,936,215
الرياض,غرب الرياض,حي المهدية,شمال,,15,465,2000
الرياض,شرق الرياض,حي الروابي,شمال غربي,تجاري,30,900,3200
الرياض,شرق الرياض,حي قرطبة,شمال شرقي,سكني,20,552,3600
الرياض,غرب الرياض,حي المهدية,جنوب شرقي,سكني,15,461,2000
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,36,2700,2200
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,15,500,1250
ثول,,حي ثول,شمال,سكني أو تجاري,27,4500,360
الرياض,شرق الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30,960,2550
الرياض,غرب الرياض,حي السفارات,3 شوارع,سكني,20,5100,5000
الرياض,شرق الرياض,حي الاندلس,3 شوارع,سكني أو تجاري,30,1704,3200
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,36,3797,3200
الرياض,شرق الرياض,حي الملك فيصل,3 شوارع,سكني أو تجاري,30,1600,3200
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20,450,3200
الرياض,شمال الرياض,حي المغرزات,غرب,تجاري,30,1980,4000
جدة,شمال جدة,حي الصوارى,شرق,,10,275,2000
الخرج,,حي مشرف,3 شوارع,سكني,20,625,480
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,15,450,700
الرياض,شمال الرياض,حي العليا,جنوب شرقي,سكني,20,600,3250
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20,800,4200
جدة,شمال جدة,حي الفردوس,شمال,سكني,32,900,1833
جدة,شمال جدة,حي الفروسية,شمال,,30,900,2222
الدمام,,حي الأمل,جنوب شرقي,سكني أو تجاري,15,2119,720
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,469,4000
الرياض,غرب الرياض,حي عرقة,غرب,سكني,12,416,2400
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,15,2250,3300
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,923,2800
الهفوف,,حي جنوب الهفوف,شمال,سكني,15,210,3714
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,18,435,1800
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,726,4000
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,14,8480,3000
الرياض,شرق الرياض,حي النهضة,جنوب شرقي,سكني,14,806,2200
الرياض,شمال الرياض,حي الصحافة,غرب,سكني,15,405,3400
الخبر,,حي البحيرة,شمال,سكني,16,556,1200
الرياض,غرب الرياض,حي المهدية,جنوب غربي,سكني,20,600,1700
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18,2141,3500
بريدة,,حي الرحاب,شمال شرقي,سكني أو تجاري,60,3600,560
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,800,2700
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,50,3684,3500
جدة,شمال جدة,حي مريخ,شمال غربي,سكني,15,581,1893
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20,1125,3600
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,1080,3700
الرياض,شمال الرياض,حي بنبان,شرق,,20,350,857
المدينة المنورة,,حي الملك فهد,شمال شرقي,سكني أو تجاري,30,632,1583
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20,2115,700
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15,10000,500
الرياض,غرب الرياض,حي عرقة,3 شوارع,سكني أو تجاري,40,5250,3300
الرياض,جنوب الرياض,حي الشفا,3 شوارع,سكني,25,1500,1235
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,1489,3400
الرياض,شمال الرياض,حي الفلاح,جنوب غربي,سكني,20,680,3300
الخبر,,حي الرجاء,شرق,سكني,15,345,1014
الرياض,شمال الرياض,حي الصحافة,شمال,سكني,12,264,3200
الرياض,وسط الرياض,حي الفاروق,3 شوارع,سكني أو تجاري,60,3508,3800
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20,1120,3600
الرياض,شمال الرياض,حي الملقا,جنوب,تجاري,60,900,6300
